main_name,nova_name,file_name,match_type,notes
,遗忘迷失重制版2.5.icp,遗忘迷失重制版2.5.icp,new,manual-check-needed
,喋血街头2.icp,喋血街头2.icp,new,manual-check-needed
,崛起2.icp,崛起2.icp,new,manual-check-needed
,战锤40K战争黎明2.icp,战锤40K战争黎明2.icp,new,manual-check-needed
,最后生还者.icp,最后生还者.icp,new,manual-check-needed
,最终幻想12.icp,最终幻想12.icp,new,manual-check-needed
,最终幻想8.icp,最终幻想8.icp,new,manual-check-needed
,最终幻想零式.icp,最终幻想零式.icp,new,manual-check-needed
,正当防卫.icp,正当防卫.icp,new,manual-check-needed
,正当防卫2.icp,正当防卫2.icp,new,manual-check-needed
,炸弹人.icp,炸弹人.icp,new,manual-check-needed
,终极街头霸王4.icp,终极街头霸王4.icp,new,manual-check-needed
,蒸汽世界挖掘2.icp,蒸汽世界挖掘2.icp,new,manual-check-needed
,蜘蛛侠破碎维度.icp,蜘蛛侠破碎维度.icp,new,manual-check-needed
,质量效应1v2.icp,质量效应1v2.icp,new,manual-check-needed
,质量效应2.icp,质量效应2.icp,new,manual-check-needed
,质量效应21.icp,质量效应21.icp,new,manual-check-needed
,重力回路.icp,重力回路.icp,new,manual-check-needed
,骷髅女孩2nd.icp,骷髅女孩2nd.icp,new,manual-check-needed
